Time,AD3_0_ai0,AD3_0_ai1
14.8 sec,2.96344491905241,3.03107708155867
14.9 sec,2.96435781535313,3.03107708155867
15 sec,2.96435781535313,3.03199106975709
15.1 sec,2.96435781535313,3.03199106975709
15.2 sec,2.96344491905241,3.03016309336026
15.3 sec,2.96344491905241,3.03016309336026
15.4 sec,2.96435781535313,3.03107708155867
15.5 sec,2.96344491905241,3.03199106975709
15.6 sec,2.96344491905241,3.03016309336026
15.7 sec,2.96435781535313,3.03199106975709
15.8 sec,2.96435781535313,3.03199106975709
15.9 sec,2.96344491905241,3.03199106975709
16 sec,2.96344491905241,3.03107708155867
16.1 sec,2.96344491905241,3.03199106975709
16.2 sec,2.96344491905241,3.03199106975709
16.3 sec,2.96344491905241,3.03199106975709
16.4 sec,2.96344491905241,3.03199106975709
16.5 sec,2.96435781535313,3.03199106975709
16.6 sec,2.96344491905241,3.03016309336026
16.7 sec,2.96253202275168,3.03107708155867
16.8 sec,2.96253202275168,3.03107708155867
16.9 sec,2.96161912645096,3.03016309336026
17 sec,2.96344491905241,3.03199106975709
17.1 sec,2.96344491905241,3.03199106975709
17.2 sec,2.96344491905241,3.03199106975709
17.3 sec,2.96435781535313,3.03199106975709
17.4 sec,2.96435781535313,3.03107708155867
17.5 sec,2.96344491905241,3.03107708155867
17.6 sec,2.96435781535313,3.03199106975709
17.7 sec,2.96344491905241,3.03199106975709
17.8 sec,2.96344491905241,3.03199106975709
17.9 sec,2.96344491905241,3.03107708155867
18 sec,2.96435781535313,3.03199106975709
18.1 sec,2.96344491905241,3.03107708155867
18.2 sec,2.96435781535313,3.03199106975709
18.3 sec,2.96435781535313,3.03107708155867
18.4 sec,2.96435781535313,3.03107708155867
18.5 sec,2.96344491905241,3.03107708155867
18.6 sec,2.96527071165386,3.03016309336026
18.7 sec,2.96344491905241,3.03016309336026
18.8 sec,2.96527071165386,3.03107708155867
18.9 sec,2.96527071165386,3.03107708155867
19 sec,2.96527071165386,3.03107708155867
19.1 sec,2.96435781535313,3.03016309336026
19.2 sec,2.96344491905241,3.03016309336026
19.3 sec,2.96527071165386,3.03107708155867
19.4 sec,2.96344491905241,3.03016309336026
19.5 sec,2.96527071165386,3.03199106975709
19.6 sec,2.96435781535313,3.03199106975709
19.7 sec,2.96435781535313,3.03199106975709
19.8 sec,2.96527071165386,3.03199106975709
19.9 sec,2.96435781535313,3.03199106975709
20 sec,2.96618360795458,3.03199106975709
20.1 sec,2.96618360795458,3.03199106975709
20.2 sec,2.96527071165386,3.03199106975709
20.3 sec,2.96435781535313,3.03016309336026
20.4 sec,2.96435781535313,3.03107708155867
20.5 sec,2.96527071165386,3.03199106975709
20.6 sec,2.96618360795458,3.03199106975709
20.7 sec,2.96618360795458,3.03199106975709
20.8 sec,2.96527071165386,3.03199106975709
20.9 sec,2.96527071165386,3.03199106975709
21 sec,2.96527071165386,3.03199106975709
21.1 sec,2.96618360795458,3.0329050579555
21.2 sec,2.96618360795458,3.0329050579555
21.3 sec,2.96527071165386,3.0329050579555
21.4 sec,2.96618360795458,3.0329050579555
21.5 sec,2.96527071165386,3.03199106975709
21.6 sec,2.96618360795458,3.0329050579555
21.7 sec,2.96527071165386,3.0329050579555
21.8 sec,2.96527071165386,3.03199106975709
21.9 sec,2.96435781535313,3.03199106975709
22 sec,2.96435781535313,3.03107708155867
22.1 sec,2.96527071165386,3.03107708155867
22.2 sec,2.96527071165386,3.03199106975709
